DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7628851,1,1,1,2,5,3,1,66,66,13.1248146727457
7628853,1,1,1,1,5,1,1,66,66,13.1248146727457
7628855,1,1,1,4,1,1,1,66,66,17.8967556900952
7628858,1,2,2,2,4,2,1,66,66,17.8967556900952
7628860,1,1,1,2,3,1,1,66,66,18.815843933527
7628865,1,1,1,5,1,1,1,66,66,16.2697779000865
7628876,1,3,1,5,1,1,1,66,66,17.0092022114655
7628894,1,1,1,1,4,6,1,66,66,69.9499231288346
7628898,1,1,1,1,5,1,1,68,"",35.2754708111672
7628900,1,1,1,1,5,4,1,68,"",39.9252971298469
7628900,1,2,1,1,5,6,1,68,"",39.9252971298469
7628914,1,1,1,1,5,1,1,68,"",31.3073307095669
7628918,1,1,1,1,5,1,1,68,"",89.6243654109262
7628927,1,1,1,5,5,1,1,68,"",39.1659042832334
7628935,1,1,5,3,3,,1,68,68,37.060953565677
7628937,1,2,1,4,4,1,1,68,68,29.7230144343118
7628940,1,3,1,1,3,1,1,68,68,23.7724335504459
7628941,1,2,1,5,3,2,1,68,68,22.4609591875008
7628946,1,4,1,1,2,1,1,68,68,21.9611928213687
7628946,1,7,1,5,5,1,1,68,68,21.9611928213687
7628951,1,2,1,2,2,1,1,68,68,25.4268958727502
7628951,1,3,1,2,2,6,1,68,68,25.4268958727502
7628954,1,1,1,5,5,1,1,68,68,34.7995240383973
7628955,1,2,1,4,1,1,1,68,68,25.4313612902988
7628957,1,1,1,1,5,1,1,68,68,23.8164928931023
7628960,1,2,1,1,2,1,1,68,68,27.7035168161801
7628964,1,1,1,4,5,1,1,68,68,25.7263597955705
7628965,1,1,1,5,4,1,1,68,68,40.4915524609683
7628968,1,1,1,5,4,1,1,68,68,39.1418340456027
7628972,1,2,1,1,3,1,1,68,68,23.6126505760139
7628973,1,1,1,1,2,2,1,68,68,29.4522593741243
7628976,1,1,1,4,5,2,1,68,68,24.0088267979308
7628982,1,1,1,5,5,1,1,68,68,38.4514963854069
7628983,1,2,1,1,5,6,1,68,68,53.2638723056263
7628986,1,1,1,5,3,1,1,68,68,20.1603693003349
7628987,1,3,1,4,2,6,1,68,68,31.1521569396473
7628991,1,1,1,1,4,2,1,68,68,22.3521934306028
7628991,1,2,1,4,4,1,1,68,68,22.3521934306028
7628992,1,1,1,5,5,6,1,68,68,26.1280441639196
